market,funding_rounds.mn,funding_rounds.var,funding_total_usd.mn,funding_total_usd.var,venture.mn,venture.var,seed.mn,seed.var,n
 Trading ,1.625,0.839285714,1159799.5,3.26585E+12,886424.5,3.45758E+12,251500,1.14686E+11,8
 Web CMS ,2.375,2.267857143,49122500.38,1.18542E+16,32812500.38,4.17573E+15,472500,3.93907E+11,8
 Accounting ,2,3.333333333,38817907.86,4.57797E+15,16128571.43,6.37516E+14,3.00E+05,2.03333E+11,7
 All Students ,2,1,9107428.571,4.94082E+14,8528571.429,4.85756E+14,570000,3.43E+11,7
 Application Platforms ,1.142857143,0.142857143,7019411.286,1.67369E+14,1718439.857,1.68883E+13,300971.4286,2.47785E+11,7
 Cars ,2.571428571,1.619047619,5763133.429,1.67792E+13,3219899.143,2.01584E+13,2078948.571,6.14977E+12,7
 Charity ,1.285714286,0.238095238,852857.1429,8.87224E+11,0,0,710000,9.81033E+11,7
 Computer Vision ,2.428571429,1.285714286,6968164.286,1.89207E+14,5514285.714,1.52825E+14,1391171.429,3.07024E+12,7
 Concerts ,2.714285714,5.904761905,6860714.286,2.27673E+14,5771428.571,2.33166E+14,782142.8571,9.96615E+11,7
 Content Discovery ,2.142857143,2.142857143,3831794.714,1.70723E+13,3141080.429,1.9864E+13,6.00E+05,5.88E+11,7
 Creative ,2.428571429,1.285714286,7449268.714,5.91833E+13,6327840.143,5.37916E+13,478571.4286,5.53214E+11,7
 Credit ,4.142857143,19.47619048,144422857.1,3.54325E+16,68532857.14,7.5228E+15,247142.8571,1.8689E+11,7
 Cyber Security ,2.714285714,2.904761905,13995428.57,5.22292E+14,13142857.14,5.47893E+14,474000,2.09E+11,7
 Diagnostics ,4.142857143,10.47619048,49769477.43,3.04828E+15,36253571.43,1.98073E+15,364285.7143,4.78929E+11,7
 Discounts ,2.142857143,2.142857143,1373280.714,1.82947E+12,743995,1.09439E+12,375714.2857,8.79587E+11,7
 Forums ,1.857142857,2.142857143,6956000,1.72E+14,4400000,1.18E+14,302428.5714,1.66258E+11,7
 Freelancers ,1.714285714,1.238095238,3233714.286,3.00608E+13,2957142.857,3.04462E+13,276571.4286,1.03001E+11,7
 Gift Card ,1.285714286,0.238095238,2022928.571,4.84656E+12,857142.8571,5.14286E+12,1022928.571,2.23339E+12,7
 Identity ,2.857142857,8.142857143,16755914,1.87875E+15,16159379.43,1.82352E+15,173571.4286,1.10223E+11,7
 Identity Management ,3.714285714,4.904761905,35723285.86,2.02115E+15,35503857.14,2.03893E+15,111428.5714,86914285714,7
 Incentives ,2.571428571,0.952380952,9351254.286,3.20322E+14,8735332.143,3.26477E+14,590922.1429,6.35354E+11,7
 Investment Management ,1.428571429,0.619047619,7.30E+07,2.05942E+16,3921428.571,5.92615E+13,307142.8571,3.35357E+11,7
 K-12 Education ,1.428571429,0.285714286,1065449.571,1.73887E+12,459592.4286,1.47858E+12,460142.8571,5.91025E+11,7
 Language Learning ,2.571428571,1.952380952,9501428.571,8.97587E+13,7800000,6.74567E+13,630000,8.02033E+11,7
 Mobile Health ,2,1,1677902.857,3.1697E+12,1057706,2.12206E+12,148411.2857,60524666425,7
 Mobile Software Tools ,2.285714286,1.238095238,12063332.71,8.84978E+13,10506189.86,1.08916E+14,657142.8571,7.5619E+11,7
 Monetization ,3.428571429,5.952380952,21067529.43,3.17611E+14,19166184.86,2.66265E+14,329916,1.89598E+11,7
 Online Dating ,1.857142857,0.80952381,1946000,1.82546E+13,1228571.429,1.05657E+13,241000,1.63E+11,7
 Outsourcing ,1.857142857,0.476190476,3531428.571,2.33248E+13,3494285.714,2.36236E+13,27142.85714,4023809524,7
 Presentations ,2,1.333333333,13048992.86,6.77529E+14,3907142.857,2.92604E+13,368571.4286,5.32781E+11,7
 Renewable Energies ,1.142857143,0.142857143,7289552.857,5.90915E+13,6682695.714,5.88761E+13,64285.71429,17261904762,7
 Sensors ,2.571428571,8.285714286,3212327.714,9.40075E+12,2093756.286,5.04946E+12,490000,5.30367E+11,7
 Social Buying ,2.714285714,1.571428571,14377677.86,3.54324E+14,13341963.57,3.82864E+14,607142.8571,8.86815E+11,7
 Social Media Monitoring ,3.142857143,1.142857143,7346194.571,4.85967E+13,6702739.143,5.24101E+13,555714.2857,8.97062E+11,7
 Social Recruiting ,1.285714286,0.238095238,12607142.86,5.3236E+14,12185714.29,5.44041E+14,1.00E+05,7.00E+10,7
 Supply Chain Management ,2.285714286,1.571428571,18503515.14,5.07987E+14,14067800.86,3.01244E+14,192857.1429,1.6869E+11,7
 Testing ,4.142857143,5.142857143,51470523.14,1.01827E+15,50883951.71,1.02871E+15,478571.4286,3.86548E+11,7
 Unifed Communications ,2.857142857,6.476190476,16229432.14,2.84452E+14,14923418.29,2.37443E+14,728871,2.3514E+12,7
 User Experience Design ,1.428571429,0.619047619,1063096.143,1.21845E+12,247428.5714,1.78566E+11,612714.2857,7.54932E+11,7
 Ad Targeting ,2.5,1.9,13383657.17,1.62062E+14,12258657.17,1.86316E+14,541666.6667,7.60417E+11,6
 Advice ,2.166666667,2.166666667,12165096.33,3.72748E+14,11373429.67,3.88358E+14,566666.6667,9.66667E+11,6
 Batteries ,3.833333333,4.966666667,102405349.2,3.8885E+16,59924515.83,9.16242E+15,0,0,6
 Browser Extensions ,3,1.6,34004166.67,1.62698E+15,16883333.33,2.54178E+14,320833.3333,4.50104E+11,6
 Business Analytics ,1.333333333,0.666666667,3754833.167,2.19374E+13,3033333.167,2.24067E+13,621500,4.72374E+11,6
 Communications Infrastructure ,2.833333333,1.366666667,10832217.83,2.38508E+14,6448886,1.09274E+14,1185833.333,1.4491E+12,6
 Contact Management ,2,0.8,4032500.333,4.81291E+13,3308333.667,5.20284E+13,452500,2.92338E+11,6
 Cooking ,2.5,0.3,13650732.67,4.8208E+14,13295000,4.91E+14,350000,3.30E+11,6
 Customer Support Tools ,2.666666667,2.666666667,14030105.33,2.49944E+14,13271499,2.48717E+14,508606.3333,7.10772E+11,6
 Diabetes ,1.5,0.7,48210481.67,1.20283E+16,29442148.33,4.87729E+15,2101666.667,1.57341E+13,6
 Document Management ,1.666666667,0.266666667,2337361,4.05908E+12,1717360.667,4.38673E+12,361667,3.07367E+11,6
 Electronic Health Records ,3.333333333,8.666666667,17470833.33,1.00896E+15,9600000,3.78E+14,262500,2.80938E+11,6
 Energy Management ,3.166666667,2.966666667,8259052.167,8.61419E+13,6038302.167,5.0958E+13,269500,4.24902E+11,6
 Entrepreneur ,1.5,0.7,6750000,1.39E+14,1283333.333,7.92167E+12,258333.3333,1.90417E+11,6
 Film ,2.666666667,3.466666667,8105871,7.82386E+13,6866704.333,6.35423E+13,283333.3333,1.97667E+11,6
 Gps ,3.5,1.9,7368672.667,7.00881E+13,5909506,5.23107E+13,366666.6667,3.26667E+11,6
 Information Security ,1.5,0.7,26833544.17,8.33253E+14,23500210.83,9.54588E+14,0,0,6
 Insurance ,1.833333333,0.966666667,30400127.83,3.46587E+15,30233461.17,3.47783E+15,166666.6667,1.30667E+11,6
 Journalism ,1.5,0.7,7107459.167,1.41256E+14,6532133,1.49705E+14,575326.1667,5.6967E+11,6
 Law Enforcement ,2,0.4,2524166.667,8.553E+12,2070833.333,9.1626E+12,450000,4.12E+11,6
 Mobility ,2,1.2,6243787.833,1.00263E+14,5584621.167,1.05516E+14,305000,1.68E+11,6
 Music Services ,1.833333333,1.366666667,4969666.667,1.22428E+14,4591666.667,1.265E+14,191333.3333,63034666667,6
 Online Reservations ,1.666666667,1.466666667,1155834.5,3.64451E+12,866667.8333,2.82668E+12,160000,6.68E+10,6
 Opinions ,3.166666667,5.366666667,23973075.33,2.49393E+15,22855575.33,2.53107E+15,467500,4.74138E+11,6
 Personal Health ,1.833333333,0.566666667,3164426.833,5.28401E+13,3010000,5.39E+13,144426.8333,29966604532,6
 Promotional ,2,0.4,947906.6667,2.65658E+11,418740,5.03366E+11,204166.6667,63104166667,6
 Recycling ,1.666666667,0.666666667,3462020.833,2.94866E+13,3329520.833,3.04166E+13,131666.6667,59456666667,6
 Reputation ,1.666666667,0.666666667,7266833.333,1.8766E+14,2230000,1.55E+13,370166.6667,4.90416E+11,6
 Robotics ,2.666666667,3.466666667,19587558.33,8.04406E+14,17066725,8.58975E+14,837500,4.71438E+11,6
 Shoes ,2.166666667,5.766666667,55187477.5,7.60528E+15,20304166.67,2.38121E+15,250000,3.75E+11,6
 Specialty Foods ,1.666666667,1.066666667,1162500,1.93563E+12,550000,1.82E+12,4.00E+05,8.67E+11,6
 Tablets ,1.833333333,1.766666667,2140833.333,2.11421E+13,1916666.667,2.20417E+13,224166.6667,1.31594E+11,6
 Teachers ,2,0.4,877500,6.45138E+11,0,0,694166.6667,7.46504E+11,6
 Ticketing ,1.333333333,0.666666667,2307500,1.47545E+13,1666666.667,1.66667E+13,640833.3333,6.51124E+11,6
 All Markets ,2.4,0.8,15368623.8,4.20199E+14,14442800,4.33442E+14,870823.8,1.17454E+12,5
 Augmented Reality ,1.4,0.8,1418000,3.08E+12,452000,1.02E+12,416000,2.28E+11,5
 Billing ,2.6,2.3,28701600,3.06883E+15,27927600,3.12037E+15,7.00E+05,2.45E+12,5
 Broadcasting ,2.6,2.8,32670000,8.77E+14,32670000,8.77E+14,0,0,5
 Business Development ,1.2,0.2,2108069.6,1.08553E+13,1730069.6,1.21818E+13,360000,3.23E+11,5
 Business Productivity ,1.8,1.7,1304000,2.03E+12,550000,1.51E+12,524000,1.16E+12,5
 Credit Cards ,3,5.5,39539000,7.08E+15,3.90E+07,6.94E+15,412000,7.88283E+11,5
 Data Mining ,3.2,5.7,13221755,4.67155E+14,12492455,4.87356E+14,9300,432450000,5
 Direct Marketing ,2.8,3.7,10607387.8,4.67941E+14,10002387.8,4.32803E+14,170000,5.70E+10,5
 Environmental Innovation ,2,3,34577305.2,3.772E+15,17758845.2,6.3804E+14,1060,5618000,5
 Health and Insurance ,2,0.5,8529439.4,1.69842E+14,8360000,1.73E+14,69439.4,5779601362,5
 IT and Cybersecurity ,2,1,7670000,4.74E+13,5920000,2.97E+13,10000,5.00E+08,5
 IT Management ,2.6,2.8,38010000,1.87E+15,37630000,1.86E+15,380000,7.22E+11,5
 Local Based Services ,1.8,0.2,3524000,4.16041E+13,3300000,4.32E+13,140000,6.80E+10,5
 Local Search ,2.2,0.7,9385049,2.8253E+14,8440280,2.93462E+14,145000,9.64E+10,5
 Navigation ,2.2,0.7,37241470.2,1.50422E+15,25010130.2,1.33369E+15,31340,3264728000,5
 Oil and Gas ,1.4,0.3,338691069.2,4.27038E+17,0,0,214000,2.29E+11,5
 Online Gaming ,1.8,1.2,8482000,1.21E+14,8200000,1.26E+14,282000,1.32E+11,5
 Online Scheduling ,3,8.5,6939517.4,1.61095E+14,5271353.8,1.23363E+14,780000,1.53169E+12,5
 Private Social Networking ,1.2,0.2,179000,3.61E+10,0,0,159000,3.71E+10,5
 Professional Services ,1.4,0.3,802000,8.35E+11,480000,7.52E+11,72000,1.65E+10,5
 QR Codes ,2.2,2.7,1395850.4,3.12892E+12,656214.2,9.96849E+11,326920,3.07079E+11,5
 Semantic Web ,2.8,1.7,13755000,1.61E+14,13284000,1.66E+14,205000,9.64E+10,5
 Shipping ,1.2,0.2,2494000,9.65E+12,0,0,674000,1.85E+12,5
 Smart Grid ,2.6,4.3,59736891,4.59751E+15,58726891,4.45402E+15,0,0,5
 Social Bookmarking ,2.4,2.3,2826000,1.59241E+13,2425000,1.53E+13,401000,4.94E+11,5
 Stock Exchanges ,1.6,0.8,722000,4.67E+11,0,0,557000,3.53E+11,5
 Systems ,2.2,2.7,6514500,1.16726E+14,6372500,1.1525E+14,92000,1.56E+10,5
 Tech Field Support ,2.2,2.7,17958000,1.43E+15,17200000,1.44E+15,738000,1.64E+12,5
 Translation ,1.6,0.8,14031236,1.88575E+14,14031236,1.88575E+14,0,0,5
 Tutoring ,1.6,1.8,7570000,2.46E+14,5100000,1.30E+14,190000,1.38E+11,5
 Vacation Rentals ,1.4,0.3,898000,4.39083E+11,595000,6.92E+11,303000,1.98E+11,5
 Video on Demand ,2.4,1.3,14158098,3.47039E+14,13068098,3.64661E+14,10000,5.00E+08,5
 Adventure Travel ,1.5,0.333333333,353750,85306250000,162500,1.06E+11,62500,3541666667,4
 Auto ,1.25,0.25,2850000,1.30217E+13,2725000,1.39E+13,125000,2.75E+10,4
 Bridging Online and Offline ,1.5,0.333333333,642500,4.92E+11,0,0,517500,6.03892E+11,4
 Chemicals ,5,15.33333333,201742775,2.46449E+16,157848155,1.25769E+16,0,0,4
 Content Creators ,2.25,2.25,252392500,2.48E+17,0,0,2067500,5.90031E+12,4
 Content Delivery ,1.25,0.25,35525000,1.78515E+15,7500000,2.25E+14,475000,9.03E+11,4
 Content Syndication ,1.25,0.25,12488750,5.00513E+14,11500000,5.29E+14,763750,8.89923E+11,4
 Corporate IT ,2.75,2.25,11601105,3.1435E+14,11486105,3.17823E+14,115000,3.69E+10,4
 Craigslist Killers ,2,2,6934687.5,5.29591E+13,2250000,2.03E+13,476250,7.42523E+11,4
 DIY ,1.25,0.25,4643750,2.1666E+13,4250000,2.55833E+13,393750,5.45156E+11,4
 Gambling ,2,1.333333333,4975816.5,5.08742E+13,4628016.5,5.05535E+13,185000,5.69E+10,4
 Game ,2,2,4480000,3.01179E+13,3587500,1.81E+13,80000,1.66E+10,4
 Geospatial ,2,0.666666667,24813187.5,7.7897E+14,20196250,9.48913E+14,116937.5,54697515625,4
 Google Apps ,4,0.666666667,35700000,3.88567E+14,34875000,4.08569E+14,650000,1.69E+12,4
 Governments ,1.25,0.25,2312500,1.0094E+13,5.00E+05,1.00E+12,50000,1.00E+10,4
 Graphics ,1.25,0.25,5040865,3.28594E+13,4990865,3.35215E+13,50000,3333333333,4
 Group Buying ,2.25,6.25,10515625,3.14808E+14,7990625,2.554E+14,1250000,4.75E+12,4
 Guides ,3,4,14175557.75,5.77288E+14,6863057.75,1.39502E+14,812500,1.39E+12,4
 High Schools ,1.75,0.916666667,5030000,3.48E+13,4975000,3.55358E+13,5000,1.00E+08,4
 Home Renovation ,2.25,1.583333333,361500,1.24916E+11,0,0,208750,69772916667,4
 Humanitarian ,2.25,0.916666667,5537500,2.22585E+13,3875000,3.21E+13,1.00E+06,1.11E+12,4
 Infrastructure ,2,0.666666667,42812500,2.71806E+15,41437500,2.86243E+15,1375000,7.56E+12,4
 Interest Graph ,1.75,0.25,1444125,1.82749E+12,750000,2.25E+12,643750,6.95156E+11,4
 Internet TV ,1.5,0.333333333,4104112.5,3.9949E+13,3250000,4.23E+13,854112.5,7.67966E+11,4
 M2M ,3.25,14.91666667,5879855.75,1.26611E+14,4452000,7.80E+13,134500,7.24E+10,4
 Medical Professionals ,1.75,0.916666667,47767104,3.65386E+15,15232277.75,9.24034E+14,0,0,4
 MMO Games ,2,2,9400000,1.22575E+14,9275000,1.25636E+14,93750,35156250000,4
 Non Profit ,2,4,12621750,6.16018E+14,12462500,6.21E+14,34250,3332250000,4
 Online Video Advertising ,2.5,3,13302500,2.77E+14,12337500,2.65E+14,390000,2.04E+11,4
 Organic Food ,3.25,2.916666667,11517499.75,2.00563E+14,10810000,2.19802E+14,707499.75,9.62224E+11,4
 Performance Marketing ,1,0,4146750,9.49181E+12,4125000,9.72917E+12,21750,1892250000,4
 Printing ,2.25,1.583333333,11602641,3.09889E+14,10902641,3.26774E+14,250000,83333333333,4
 Social Fundraising ,1.5,1,5415000,1.08E+14,5250000,1.10E+14,165000,2.89E+10,4
 Social Media Advertising ,2.5,3.666666667,4400000,2.20417E+13,3262500,2.20123E+13,262500,2.42292E+11,4
 Social Media Platforms ,2,2,7017591.25,9.44338E+13,5985065.25,9.07472E+13,1032526,1.49925E+12,4
 Textbooks ,1.25,0.25,2141875,6.30096E+12,1625000,3.56E+12,2500,2.50E+07,4
 Video Chat ,1.5,0.333333333,465000,2.17233E+11,125000,6.25E+10,340000,1.01E+11,4
 Virtual Worlds ,1,0,2100000,1.07317E+13,1912500,1.15473E+13,187500,1.41E+11,4
 Visualization ,4.25,16.25,4971271.5,5.33529E+13,3623682.5,5.25243E+13,532500,7.88892E+11,4
 Water ,1.75,0.916666667,797349.75,3.16088E+11,299849.75,1.72259E+11,122500,21758333333,4
 Wine And Spirits ,1.25,0.25,1540000,4.46207E+12,1375000,4.56E+12,40000,5.40E+09,4
 3D Printing ,3,4,8509333.333,1.43665E+14,6700000,1.23E+14,876000,2.30E+12,3
 3D Technology ,2,1,3533333.333,1.63583E+12,0,0,3233333.333,1.00333E+12,3
 App Stores ,2,3,2139000,6.31E+12,1972333.333,7.0853E+12,1.00E+05,3.00E+10,3
 Application Performance Monitoring ,3.666666667,1.333333333,11807666.67,6.47572E+13,9233333.333,6.39633E+13,1691000,8.13E+11,3
 Babies ,1.333333333,0.333333333,783333.3333,9.57708E+11,0,0,516666.6667,2.77708E+11,3
 Business Information Systems ,1.666666667,0.333333333,7759333.333,9.99026E+13,7020000,1.14E+14,739333.3333,1.39204E+12,3
 Career Planning ,2,1,5116666.667,4.76608E+13,4333333.333,5.63333E+13,733333.3333,1.61333E+12,3
 Celebrity ,1,0,5191666.667,7.22296E+13,5003333.333,7.495E+13,188333.3333,1.06408E+11,3
 Charter Schools ,1.666666667,0.333333333,2098333.333,48258333333,648333.3333,1.26101E+12,416666.6667,5.20833E+11,3
 Comparison Shopping ,2,3,2568229.667,8.85492E+12,234875.3333,1.65499E+11,2000021,1.20003E+13,3
 Coworking ,1.666666667,1.333333333,18200000,6.55E+14,15833333.33,7.52083E+14,83333.33333,20833333333,3
 Craft Beer ,1,0,265151.3333,1.58814E+11,0,0,0,0,3
 Digital Entertainment ,1.333333333,0.333333333,9263333.333,2.36068E+14,8333333.333,2.08333E+14,680000,1.31E+12,3
 Domains ,2,0,14297720.33,6.03243E+14,0,0,11666.66667,408333333.3,3
 Drones ,2.333333333,0.333333333,1.60E+07,2.91E+14,1.50E+07,3.25E+14,1.00E+06,1.00E+12,3
 E-Books ,1.333333333,0.333333333,7400000,7.06E+13,5933333.333,5.24133E+13,1466666.667,2.25333E+12,3
 Educational Games ,1,0,272666.6667,71141333333,0,0,89333.33333,19441333333,3
 Energy IT ,1.666666667,0.333333333,1405666.667,4.0063E+12,1233333.333,4.56333E+12,172333.3333,80596333333,3
 Enterprise Resource Planning ,3.666666667,0.333333333,54358333.33,2.21977E+15,28833333.33,2.49408E+15,43333.33333,5633333333,3
 Enterprise Search ,3.666666667,6.333333333,15462499.33,4.61529E+14,12995833,3.36914E+14,466666.6667,6.53333E+11,3
 Enterprise Security ,2.333333333,1.333333333,11800000,7.73E+13,9666666.667,8.23333E+13,1466666.667,3.05333E+12,3
 Entertainment Industry ,1,0,1125002.333,7.65625E+11,375002.3333,4.2188E+11,666666.6667,1.33333E+12,3
 Exercise ,1.333333333,0.333333333,3933333.333,2.58133E+13,3266666.667,3.20133E+13,333333.3333,3.33333E+11,3
 Families ,1.666666667,0.333333333,456666.6667,5.33633E+11,0,0,73333.33333,12133333333,3
 Flash Sales ,3.333333333,4.333333333,18466666.67,7.97206E+14,15666666.67,6.04333E+14,1133333.333,9.05833E+11,3
 Game Mechanics ,4.333333333,6.333333333,38055000,1.66E+15,37900000,1.67E+15,83333.33333,20833333333,3
 Government Innovation ,5.666666667,8.333333333,8636666.667,1.59155E+14,7633333.333,1.74803E+14,958333.3333,4.56458E+11,3
 Green ,3.333333333,4.333333333,5538833.333,1.99471E+13,3813833.333,1.61795E+13,3.00E+05,2.70E+11,3
 Image Recognition ,2.666666667,2.333333333,7232666.667,1.32126E+14,5333333.333,8.53333E+13,1060000,1.67E+12,3
 Indoor Positioning ,3.666666667,4.333333333,12613333.33,2.93065E+13,8933333.333,7.14133E+13,3680000,1.11E+13,3
 Industrial Automation ,3.333333333,10.33333333,1753666.667,1.6079E+12,1.00E+06,3.00E+12,20000,1.20E+09,3
 Jewelry ,1.666666667,1.333333333,10310000,7.48E+13,9833333.333,7.25833E+13,476666.6667,3.18633E+11,3
 Leisure ,1,0,7161666.667,1.43625E+14,7.00E+06,1.47E+14,161666.6667,19908333333,3
 Lighting ,2.666666667,2.333333333,46916666.67,2.61616E+15,42616666.67,2.23424E+15,0,0,3
 Linux ,4,13,21640000,6.01E+14,20973333.33,6.26891E+14,0,0,3
 Local Advertising ,2.333333333,1.333333333,12757916.67,4.41003E+14,12732916.67,4.41951E+14,0,0,3
 Mac ,1.333333333,0.333333333,3790000,2.89E+13,3523333.333,3.15416E+13,266666.6667,2.13333E+11,3
 Mass Customization ,2.666666667,1.333333333,2246867,5.70915E+12,606690.3333,1.10422E+12,570833.3333,8.74427E+11,3
 Material Science ,3.333333333,5.333333333,5936662,2.46654E+13,4212500,1.3323E+13,1166666.667,1.58333E+12,3
 Meeting Software ,1.333333333,0.333333333,4564374,2.23589E+13,692707.3333,1.43953E+12,466666.6667,6.53333E+11,3
 Mobile Coupons ,1.666666667,1.333333333,4250000,8.31E+12,3750000,1.32E+13,5.00E+05,7.50E+11,3
 Mobile Enterprise ,1.333333333,0.333333333,3623333.333,6.24763E+12,1073333.333,3.45613E+12,2550000,1.10E+13,3
 Mobile Shopping ,1.666666667,1.333333333,4988333,1.38414E+13,2471666.333,1.19124E+13,2516666.667,8.08083E+12,3
 Mobile Video ,2.666666667,2.333333333,5245000,2.11E+13,3448333.333,1.56046E+13,1243333.333,2.56363E+12,3
 NFC ,2,1,256666.6667,62822333333,0,0,256666.6667,62822333333,3
 Oil ,2,3,120306666.7,2.44721E+16,5306666.667,4.57221E+13,0,0,3
 Online Travel ,2,3,1505000,4.31E+10,0,0,1005000,8.01E+11,3
 Organic ,2,3,3908333.333,3.48327E+13,3233333.333,2.26633E+13,8333.333333,208333333.3,3
 P2P Money Transfer ,3.333333333,10.33333333,197883333.3,1.15613E+17,164500000,7.97E+16,50000,7.50E+09,3
 Point of Sale ,2,1,41941666.67,3.90857E+15,41936666.67,3.90919E+15,5000,7.50E+07,3
 Postal and Courier Services ,1.333333333,0.333333333,771666.6667,1.63941E+12,0,0,750000,1.69E+12,3
 Product Design ,2,3,12072333.33,4.01408E+14,10866666.67,3.54253E+14,839000,5.69E+11,3
 Product Development Services ,2,1,6950000,1.14E+14,5866666.667,7.75033E+13,1083333.333,3.52083E+12,3
 Professional Networking ,1.333333333,0.333333333,576666.6667,1.49633E+11,0,0,543333.3333,1.30633E+11,3
 Property Management ,1.333333333,0.333333333,2641666.667,1.16377E+13,1675000,8.29E+12,5.00E+05,7.50E+11,3
 Retail Technology ,5,3,7677322.667,4.51221E+13,5742489.333,2.73363E+13,339333.3333,3.27441E+11,3
 Service Providers ,1,0,2883333.333,2.43583E+12,2516666.667,4.80083E+12,366666.6667,4.03333E+11,3
 Social + Mobile + Local ,1.666666667,0.333333333,6149758.333,5.2531E+13,6076425,5.38517E+13,0,0,3
 Social Business ,2.333333333,5.333333333,5883556,1.02091E+14,5200000,8.11E+13,433333.3333,4.40833E+11,3
 Social Travel ,1.333333333,0.333333333,556666.6667,3.23633E+11,0,0,556666.6667,3.23633E+11,3
 Specialty Retail ,2.333333333,2.333333333,3366666.667,8.00333E+12,3.00E+06,7.00E+12,366666.6667,3.03333E+11,3
 Speech Recognition ,3,1,6700000,2.38E+13,5533333.333,9.32333E+12,0,0,3
 Sponsorship ,3,1,1328333.333,6.46858E+11,383333.3333,4.40833E+11,945000,5.28E+11,3
 Surveys ,1.666666667,1.333333333,5364044,4.42993E+13,3766666.667,2.18633E+13,264044,2.09158E+11,3
 Task Management ,2.666666667,4.333333333,5986666.667,4.4529E+13,2166666.667,1.40833E+13,1616666.667,6.69083E+12,3
 Text Analytics ,1.333333333,0.333333333,793333.3333,1.09213E+12,0,0,726666.6667,1.22413E+12,3
 Textiles ,1,0,239000,5.95E+10,166666.6667,83333333333,5666.666667,96333333.33,3
 Tourism ,1.666666667,0.333333333,66666.66667,933333333.3,0,0,13333.33333,533333333.3,3
 Toys ,4,7,9555929,1.42234E+14,7393595.667,1.25816E+14,1932333.333,2.68749E+12,3
 Video Conferencing ,1.333333333,0.333333333,2.00E+06,7.50E+11,5.00E+05,7.50E+11,5.00E+05,7.50E+11,3
 Virtual Currency ,1.333333333,0.333333333,358333.3333,1.33958E+11,0,0,75000,1.19E+10,3
 Visual Search ,3.333333333,6.333333333,16913100,6.77387E+14,14533333.33,6.33653E+14,563333.3333,9.52033E+11,3
 Web Browsers ,3,7,7475000,9.31E+13,4766666.667,2.76033E+13,2708333.333,2.10052E+13,3
 Women ,3.333333333,1.333333333,17070000,6.34E+14,16366666.67,6.61003E+14,20000,1.20E+09,3
 World Domination ,3.666666667,6.333333333,29466656.33,2.01712E+15,27899989.67,1.94173E+15,566666.6667,9.63333E+11,3
 Advertising Networks ,1,0,3750000,2.11E+13,3750000,2.11E+13,0,0,2
 Architecture ,5.5,40.5,31967525.5,2.03108E+15,27247272,1.48483E+15,50000,5.00E+09,2
 Archiving ,2,2,13010000,3.37E+14,1.30E+07,3.38E+14,10000,2.00E+08,2
 Artists Globally ,3.5,4.5,2118079.5,3.3183E+12,2080579.5,3.51432E+12,37500,2812500000,2
 Bio-Pharm ,5,8,68668086.5,3.84238E+15,66783336.5,3.73527E+15,0,0,2
 Bioinformatics ,2.5,0.5,3744164,58774432658,3394164,63776632658,0,0,2
 Boating Industry ,1.5,0.5,966000,1.74E+12,0,0,366000,2.23E+11,2
 Classifieds ,2,2,567500,6.10513E+11,0,0,7500,112500000,2
 Clinical Trials ,1.5,0.5,1271000,2.90E+11,826000,1.36E+12,70000,9.80E+09,2
 Coffee ,1.5,0.5,22855500,1.04374E+15,22850000,1.04E+15,0,0,2
 Collectibles ,3.5,4.5,392000,1.71E+11,0,0,382500,1.59613E+11,2
 Corporate Training ,1.5,0.5,1670446,58103677832,495446,4.90933E+11,1175000,2.11E+11,2
 Cosmetics ,1.5,0.5,5150000,2.96E+13,3500000,2.45E+13,1650000,2.45E+11,2
 Data Center Infrastructure ,2,2,41400000,3.92E+12,41400000,3.92E+12,0,0,2
 Defense ,1.5,0.5,1275000,1.90E+12,1125000,2.53E+12,150000,4.50E+10,2
 Demographies ,2,0,11650000,8.06E+13,11650000,8.06E+13,0,0,2
 Digital Signage ,1.5,0.5,31100000,1.75E+15,0,0,0,0,2
 Doctors ,5,2,61175000,6.12E+15,26175000,8.26E+14,0,0,2
 DOD/Military ,1.5,0.5,1085296.5,1.74956E+12,0,0,75000,1.13E+10,2
 Electric Vehicles ,2.5,0.5,11731076,2.50398E+12,9881076,2.50398E+12,925000,1.71E+12,2
 Embedded Hardware and Software ,1.5,0.5,1229000,2.38E+12,1160000,2.69E+12,69000,9.52E+09,2
 Employer Benefits Programs ,2,0,6.00E+06,8.00E+12,5500000,1.25E+13,5.00E+05,5.00E+11,2
 Engineering Firms ,2,2,11475000,1.85E+14,10550000,2.23E+14,925000,1.71E+12,2
 Fleet Management ,2.5,4.5,47875000,4.44E+15,1.00E+06,2.00E+12,0,0,2
 Fraud Detection ,2,2,33550000,2.62E+14,33550000,2.62E+14,0,0,2
 FreetoPlay Gaming ,2,2,21885000,9.34E+14,21800000,9.42E+14,85000,1.45E+10,2
 Genetic Testing ,5.5,40.5,27614441,1.41666E+15,25201941,1.27028E+15,5.00E+05,5.00E+11,2
 Green Consumer Goods ,2,0,7950000,8.41E+12,4.00E+06,3.20E+13,3950000,7.61E+12,2
 High Tech ,2,2,8550000,1.43E+14,8500000,1.45E+14,50000,5.00E+09,2
 Home Decor ,3,8,48299945,3.32929E+15,47049945,3.12841E+15,1250000,3.13E+12,2
 Human Computer Interaction ,2.5,0.5,11018106.5,1.99276E+14,9750000,1.90E+14,750000,1.13E+12,2
 Industrial ,2,2,1632000,4.92E+12,5.00E+05,5.00E+11,382000,2.02E+11,2
